Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
LDLR	3949	Hypercholesterolemia, Familial	C0020445	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	153	1189	0.9	strong	0.9578313	834	1137	1964.0	2018.0
ICK	22858	Endocrine-Cerebroosteodysplasia	C2675227	disease	Endocrine System Diseases; Nervous System Diseases	Disease or Syndrome	1	1	0.9	no reported evidence		4	1	2009.0	2018.0
CDKN2A	1029	melanoma	C0025202	disease	Neoplasms	Neoplastic Process	2453	389	0.8	strong	0.94047619047619	517	24	1994.0	2018.0
AKT1	207	Proteus Syndrome	C0085261	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Neoplasms	Neoplastic Process	5	1	0.74	no reported evidence	1.0	7	1	1993.0	2016.0
BCHE	590	Butyrylcholinesterase deficiency	C1283400	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases; Pathological Conditions, Signs and Symptoms; Respiratory Tract Diseases	Disease or Syndrome	2	51	0.72	no reported evidence	1.0	44	50	1957.0	2015.0
AKT1	207	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.7	no reported evidence	0.987012987012987	156	2	1999.0	2018.0
AKT1	207	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.7	no reported evidence	0.987012987012987	155	2	1999.0	2018.0
CCND1	595	Multiple Myeloma	C0026764	disease	Cardiovascular Diseases; Hemic and Lymphatic Diseases; Immune System Diseases; Neoplasms	Neoplastic Process	1311	784	0.7	no reported evidence	0.935064935064935	79	1	1991.0	2017.0
CDKN2A	1029	Squamous cell carcinoma	C0007137	disease	Neoplasms	Neoplastic Process	1875	224	0.7	no reported evidence	0.955665024630542	226	2	1994.0	2018.0
CDKN2A	1029	Pancreatic Neoplasm	C0030297	disease	Digestive System Diseases; Endocrine System Diseases; Neoplasms	Neoplastic Process	664	13	0.7	no reported evidence	1.0	19	1	1996.0	2015.0
CDKN2A	1029	Cutaneous Melanoma	C0151779	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	300	203	0.7	no reported evidence	0.909090909090909	79	10	1995.0	2016.0
