Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
LMNA	4000	Progeria	C0033300	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	58	32	1.0	no reported evidence	0.9589041	181	26	1993.0	2018.0
LMNA	4000	Cardiomyopathy, Familial Idiopathic	C1449563	disease	Cardiovascular Diseases	Disease or Syndrome	387	121	1.0	no reported evidence	0.9210526	70	47	1993.0	2018.0
LMNA	4000	MUSCULAR DYSTROPHY, CONGENITAL, LMNA-RELATED (disorder)	C2750785	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	1	15	0.91	no reported evidence	1.0	10	15	2004.0	2015.0
APP	351	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.9	no reported evidence	0.967113276492083	1764	39	1987.0	2018.0
CTSD	1509	NEURONAL CEROID LIPOFUSCINOSIS DUE TO CATHEPSIN D DEFICIENCY	C1864669	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	7	0.9	no reported evidence		10	7	1995.0	2015.0
LMNA	4000	Charcot-Marie-Tooth disease, Type 2B1	C1854154	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	1	3	0.9	no reported evidence		8	3	1993.0	2016.0
LRRK2	120892	PARKINSON DISEASE 8 (disorder)	C1846862	disease		Disease or Syndrome	1	29	0.83	no reported evidence	1.0	74	29	1993.0	2017.0
LMNA	4000	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)	C0410190	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	8	70	0.8	no reported evidence	1.0	65	70	1991.0	2017.0
LMNA	4000	Mandibuloacral dysostosis	C0432291	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	11	15	0.8	no reported evidence	1.0	24	13	2002.0	2015.0
LMNA	4000	Familial Partial Lipodystrophy, Type 2	C1720860	disease	Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	13	23	0.8	no reported evidence	1.0	47	21	1999.0	2018.0
LMNA	4000	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B (disorder)	C1834653	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	4	19	0.8	no reported evidence	0.9285714	30	19	2000.0	2016.0
DHCR24	1718	Desmosterolosis	C1865596	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	2	7	0.75	no reported evidence	1.0	7	7	2001.0	2015.0
SLC6A3	6531	Parkinsonism-Dystonia, Infantile	C2751067	disease	Nervous System Diseases	Disease or Syndrome	4	6	0.75	no reported evidence	1.0	8	6	2009.0	2017.0
CTSD	1509	Neuronal Ceroid Lipofuscinosis, Congenital	C1864670	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	2	0.72	no reported evidence	1.0	9	2	1995.0	2012.0
LMNA	4000	Malouf syndrome	C0796031	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	1	3	0.71	no reported evidence	1.0	5	3	2003.0	2015.0
LMNA	4000	Cardiomyopathy, Dilated	C0007193	group	Cardiovascular Diseases	Disease or Syndrome	418	387	0.7	strong	0.9879518	139	45	1999.0	2018.0
LMNA	4000	Muscular Dystrophy, Emery-Dreifuss	C0410189	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	32	12	0.7	no reported evidence	0.95	69	11	1999.0	2017.0
LMNA	4000	Muscular Dystrophies, Limb-Girdle	C0686353	group	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	92	31	0.7	strong	1.0	27	3	1996.0	2015.0
LRRK2	120892	Parkinson Disease	C0030567	disease	Nervous System Diseases	Disease or Syndrome	1063	636	0.7	strong	0.9664122	692	26	2002.0	2018.0
LMNA	4000	Charcot-Marie-Tooth Disease	C0007959	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	297	104	0.68	strong	1.0	10	4	1993.0	2007.0
APP	351	Familial Alzheimer Disease (FAD)	C0276496	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	187	62	0.6	no reported evidence	0.972067039106145	210	16	1988.0	2018.0
APP	351	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED	C2751536	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	5	0.6	no reported evidence		15	5	1990.0	2010.0
APP	351	Cerebral hemorrhage with amyloidosis, hereditary, Dutch type	C2931672	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	3	0.6	no reported evidence		6	3	1990.0	2010.0
LMNA	4000	Lethal tight skin contracture syndrome (disorder)	C0406585	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	4	11	0.6	no reported evidence		14	3	2003.0	2016.0
LMNA	4000	Najjar syndrome	C0796083	disease	Cardiovascular Diseases	Disease or Syndrome	1	2	0.6	no reported evidence		3	2	2003.0	2009.0
LMNA	4000	Heart-hand syndrome, Slovenian type	C1857829	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	Disease or Syndrome	1	2	0.6	no reported evidence		3	2	2005.0	2015.0
LMNA	4000	Emery-Dreifuss Muscular Dystrophy 3	C2750035	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	1	4	0.6	no reported evidence		9	4	2000.0	2016.0
SLC6A3	6531	Parkinson Disease	C0030567	disease	Nervous System Diseases	Disease or Syndrome	1063	636	0.6	strong	0.85	63	1	1994.0	2017.0
PLAU	5328	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.58	no reported evidence	1.0	18	1	1994.0	2014.0
SLC6A3	6531	Cocaine Dependence	C0600427	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	156	28	0.56	no reported evidence	0.8	10	0	2001.0	2011.0
PLAU	5328	Quebec platelet disorder	C1866423	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Hemic and Lymphatic Diseases	Disease or Syndrome	9	0	0.55	no reported evidence	1.0	5	0	2001.0	2011.0
LMNA	4000	Autosomal Recessive Emery-Dreifuss Muscular Dystrophy	C1450051	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	5	3	0.53	no reported evidence	1.0	4	3	2000.0	2013.0
SLC6A3	6531	Cocaine Abuse	C0009171	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	127	2	0.52	no reported evidence	1.0	6	0	2000.0	2013.0
LMNA	4000	Familial Partial Lipodystrophy, Type 1	C1720859	disease	Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	10	0	0.51	no reported evidence	1.0	5	0	2003.0	2009.0
PLAU	5328	Myocardial Infarction	C0027051	disease	Cardiovascular Diseases	Disease or Syndrome	965	454	0.51	no reported evidence	1.0	8	1	1985.0	2011.0
SLC6A3	6531	Attention Deficit Disorder	C0041671	disease	Mental Disorders	Mental or Behavioral Dysfunction	72	2	0.51	no reported evidence	1.0	15	0	1995.0	2015.0
APP	351	Cerebral Amyloid Angiopathy	C0085220	disease	Cardiovascular Diseases; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	44	11	0.5	no reported evidence	0.939393939393939	38	3	1993.0	2016.0
APP	351	Memory impairment	C0233794	phenotype	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	266	22	0.5	no reported evidence	0.9375	78	2	1993.0	2018.0
APP	351	Dementia	C0497327	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	435	107	0.5	no reported evidence	0.970149253731343	75	8	1993.0	2018.0
APP	351	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ARCTIC VARIANT	C2751494	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	3	0.5	no reported evidence		6	3	1990.0	2010.0
APP	351	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, FLEMISH VARIANT	C3888307	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	3	0.5	no reported evidence		6	3	1990.0	2010.0
APP	351	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ITALIAN VARIANT	C3888308	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	3	0.5	no reported evidence		6	3	1990.0	2010.0
APP	351	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, IOWA VARIANT	C3888309	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases; Nutritional and Metabolic Diseases	Disease or Syndrome	1	3	0.5	no reported evidence		6	3	1990.0	2010.0
LMNA	4000	Congenital myopathy (disorder)	C0270960	group		Congenital Abnormality	109	5	0.5	strong		2	0	2012.0	2014.0
LMNA	4000	Congenital muscular dystrophy (disorder)	C0699743	disease		Disease or Syndrome	66	10	0.5	strong	1.0	14	1	2004.0	2017.0
PLAU	5328	Thrombosis	C0040053	phenotype	Cardiovascular Diseases	Pathologic Function	97	0	0.5	no reported evidence		7	0	1969.0	2010.0
PLAU	5328	Brain Edema	C1527311	disease	Nervous System Diseases	Disease or Syndrome	62	0	0.5	no reported evidence		2	0	2001.0	2008.0
APP	351	Memory Loss	C0751295	phenotype	Behavior and Behavior Mechanisms; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Sign or Symptom	125	2	0.49	no reported evidence	1.0	24	0	2002.0	2018.0
LMNA	4000	Polycystic Ovary Syndrome	C0032460	disease	Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Disease or Syndrome	525	181	0.44	no reported evidence	1.0	5	2	2008.0	2014.0
APP	351	ALZHEIMER DISEASE, FAMILIAL, 1	C1863052	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	4	14	0.41	no reported evidence	1.0	48	12	1991.0	2008.0
LMNA	4000	Scleroderma	C0011644	disease	Skin and Connective Tissue Diseases	Disease or Syndrome	178	2	0.41	no reported evidence	1.0	2	0	2005.0	2010.0
APP	351	Amyloidosis	C0002726	disease	Nutritional and Metabolic Diseases	Disease or Syndrome	832	120	0.4	no reported evidence	0.97145993413831	914	22	1988.0	2018.0
APP	351	Anxiety Disorders	C0003469	group	Mental Disorders	Mental or Behavioral Dysfunction	395	79	0.4	no reported evidence	0.909090909090909	11	2	2004.0	2016.0
APP	351	Cognition Disorders	C0009241	group	Mental Disorders	Mental or Behavioral Dysfunction	236	29	0.4	no reported evidence	1.0	41	5	1995.0	2018.0
APP	351	Presenile dementia	C0011265	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	361	102	0.4	no reported evidence	0.982142857142857	89	8	1991.0	2018.0
APP	351	Senile Plaques	C0333463	phenotype	Pathological Conditions, Signs and Symptoms	Acquired Abnormality	300	27	0.4	no reported evidence	0.951754385964912	229	7	1988.0	2017.0
APP	351	Impaired cognition	C0338656	disease	Mental Disorders	Mental or Behavioral Dysfunction	670	121	0.4	no reported evidence	0.939024390243902	83	8	1993.0	2018.0
APP	351	Alzheimer Disease, Late Onset	C0494463	disease	Mental Disorders; Nervous System Diseases	Mental or Behavioral Dysfunction	252	110	0.4	no reported evidence	1.0	54	1	1991.0	2018.0
APP	351	Neurodegenerative Disorders	C0524851	group	Nervous System Diseases	Disease or Syndrome	744	41	0.4	no reported evidence	0.91304347826087	25	0	1994.0	2016.0
APP	351	Alzheimer Disease, Early Onset	C0750901	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	115	55	0.4	no reported evidence	0.96	83	11	1991.0	2018.0
APP	351	Plaque, Amyloid	C2936349	phenotype	Pathological Conditions, Signs and Symptoms	Acquired Abnormality	234	23	0.4	no reported evidence	0.93010752688172	187	9	1988.0	2016.0
DHCR24	1718	Alzheimer's Disease	C0002395	disease	Mental Disorders; Nervous System Diseases	Disease or Syndrome	1981	1062	0.4	no reported evidence	0.95	20	4	2001.0	2016.0
DHCR24	1718	Hydrocephalus	C0020255	disease	Nervous System Diseases	Disease or Syndrome	252	7	0.4	strong		2	0	2001.0	2012.0
DHCR24	1718	Intellectual Disability	C3714756	group	Behavior and Behavior Mechanisms; Mental Disorders; Nervous System Diseases; Pathological Conditions, Signs and Symptoms	Mental or Behavioral Dysfunction	2502	53	0.4	strong		0	0		
LMNA	4000	Arthrogryposis	C0003886	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases	Disease or Syndrome	306	6	0.4	limited		0	0		
LMNA	4000	Sudden Cardiac Death	C0085298	phenotype	Cardiovascular Diseases; Pathological Conditions, Signs and Symptoms	Pathologic Function	49	2	0.4	no reported evidence		1	0	2005.0	2005.0
LMNA	4000	Familial partial lipodystrophy	C0271694	disease	Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	16	14	0.4	no reported evidence	0.961039	80	10	2000.0	2017.0
LMNA	4000	Sclerocystic Ovaries	C1136382	disease	Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Neoplasms	Disease or Syndrome	165	0	0.4	no reported evidence		1	0	2011.0	2011.0
