Gene	Gene_id	Disease	Disease_id	Type	Disease_Class	Semantic_Type	N_genes_d	N_SNPs_d	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
KCNQ1	3784	Jervell-Lange Nielsen Syndrome	C0022387	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities	Disease or Syndrome	8	18	1	no reported evidence	0.9666667	54	15	1997	2017
KCNQ1	3784	Romano-Ward Syndrome	C0035828	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Pathological Conditions, Signs and Symptoms	Disease or Syndrome	28	232	1	no reported evidence	1	113	215	1993	2018
LMNA	4000	Progeria	C0033300	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	58	32	1	no reported evidence	0.9589041	181	26	1993	2018
LMNA	4000	Cardiomyopathy, Familial Idiopathic	C1449563	disease	Cardiovascular Diseases	Disease or Syndrome	387	121	1	no reported evidence	0.9210526	70	47	1993	2018
DBH	1621	dopamine beta hydroxylase deficiency	C0342687	disease	Nervous System Diseases	Disease or Syndrome	1	8	0.91	no reported evidence	1	8	8	1993	2013
LMNA	4000	MUSCULAR DYSTROPHY, CONGENITAL, LMNA-RELATED (disorder)	C2750785	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	1	15	0.91	no reported evidence	1	10	15	2004	2015
LMNA	4000	Charcot-Marie-Tooth disease, Type 2B1	C1854154	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nervous System Diseases	Disease or Syndrome	1	3	0.9	no reported evidence		8	3	1993	2016
RAF1	5894	Noonan Syndrome 5	C1969057	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	1	10	0.81	no reported evidence	1	8	10	2007	2016
CDKN2A	1029	melanoma	C0025202	disease	Neoplasms	Neoplastic Process	2453	389	0.8	strong	0.94047619047619	517	24	1994	2018
CHRNB2	1141	Epilepsy, Nocturnal Frontal Lobe, Type 3	C1854335	disease	Nervous System Diseases	Disease or Syndrome	1	5	0.8	no reported evidence		5	5	1993	2012
LMNA	4000	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)	C0410190	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	8	70	0.8	no reported evidence	1	65	70	1991	2017
LMNA	4000	Mandibuloacral dysostosis	C0432291	disease	Musculoskeletal Diseases; Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	11	15	0.8	no reported evidence	1	24	13	2002	2015
LMNA	4000	Familial Partial Lipodystrophy, Type 2	C1720860	disease	Nutritional and Metabolic Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	13	23	0.8	no reported evidence	1	47	21	1999	2018
LMNA	4000	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B (disorder)	C1834653	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	4	19	0.8	no reported evidence	0.9285714	30	19	2000	2016
HTRA1	5654	Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy	C1838577	disease	Cardiovascular Diseases; Musculoskeletal Diseases; Nervous System Diseases; Pathological Conditions, Signs and Symptoms; Skin and Connective Tissue Diseases	Disease or Syndrome	5	10	0.8	no reported evidence	0.9	17	10	1993	2018
RAF1	5894	Noonan Syndrome	C0028326	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Skin and Connective Tissue Diseases	Disease or Syndrome	60	129	0.8	definitive	1	48	18	1991	2016
AKT1	207	Proteus Syndrome	C0085261	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Neoplasms	Neoplastic Process	5	1	0.74	no reported evidence	1	7	1	1993	2016
LMNA	4000	Malouf syndrome	C0796031	disease	Cardiovascular Diseases; Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Endocrine System Diseases; Female Urogenital Diseases and Pregnancy Complications; Male Urogenital Diseases	Disease or Syndrome	1	3	0.71	no reported evidence	1	5	3	2003	2015
AKT1	207	Malignant neoplasm of breast	C0006142	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	5053	1365	0.7	no reported evidence	0.987012987012987	156	2	1999	2018
AKT1	207	Breast Carcinoma	C0678222	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	4962	1839	0.7	no reported evidence	0.987012987012987	155	2	1999	2018
ALDH2	217	Alcoholic Intoxication, Chronic	C0001973	disease	Mental Disorders; Substance-Related Disorders	Mental or Behavioral Dysfunction	423	323	0.7	no reported evidence	1	118	3	1991	2018
CCND1	595	Multiple Myeloma	C0026764	disease	Cardiovascular Diseases; Hemic and Lymphatic Diseases; Immune System Diseases; Neoplasms	Neoplastic Process	1311	784	0.7	no reported evidence	0.935064935064935	79	1	1991	2017
CDKN2A	1029	Squamous cell carcinoma	C0007137	disease	Neoplasms	Neoplastic Process	1875	224	0.7	no reported evidence	0.955665024630542	226	2	1994	2018
CDKN2A	1029	Pancreatic Neoplasm	C0030297	disease	Digestive System Diseases; Endocrine System Diseases; Neoplasms	Neoplastic Process	664	13	0.7	no reported evidence	1	19	1	1996	2015
CDKN2A	1029	Cutaneous Melanoma	C0151779	disease	Neoplasms; Skin and Connective Tissue Diseases	Neoplastic Process	300	203	0.7	no reported evidence	0.909090909090909	79	10	1995	2016
CDKN2A	1029	MELANOMA-PANCREATIC CANCER SYNDROME	C1838547	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Digestive System Diseases; Endocrine System Diseases; Neoplasms	Disease or Syndrome	1	8	0.7	no reported evidence		42	8	1995	2017
LMNA	4000	Cardiomyopathy, Dilated	C0007193	group	Cardiovascular Diseases	Disease or Syndrome	418	387	0.7	strong	0.9879518	139	45	1999	2018
LMNA	4000	Muscular Dystrophy, Emery-Dreifuss	C0410189	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	32	12	0.7	no reported evidence	0.95	69	11	1999	2017
LMNA	4000	Muscular Dystrophies, Limb-Girdle	C0686353	group	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Musculoskeletal Diseases; Nervous System Diseases	Disease or Syndrome	92	31	0.7	strong	1	27	3	1996	2015
MTR	4548	Methylcobalamin Deficiency, CblG Type	C1855128	disease	Congenital, Hereditary, and Neonatal Diseases and Abnormalities; Nutritional and Metabolic Diseases	Disease or Syndrome	2	9	0.7	no reported evidence		5	9	1997	2014
