SNPs,PMIDs,Neuroimaging_Features
 RS11136000,23573206,Tau
 RS11136000,23573206,Cerebrospinal fluid
 RS11136000,23573206,p_tau
RS2075650,23573206,Tau
RS2075650,23573206,Cerebrospinal fluid
RS2075650,23573206,p_tau
 RS1868402,23573206,Tau
 RS1868402,23573206,Cerebrospinal fluid
 RS1868402,23573206,p_tau
 RS2304933,23573206,Tau
 RS2304933,23573206,Cerebrospinal fluid
 RS2304933,23573206,p_tau
 RS16940758,23573206,Tau
 RS16940758,23573206,Cerebrospinal fluid
 RS16940758,23573206,p_tau
 RS73595277,23573206,Tau
 RS73595277,23573206,Cerebrospinal fluid
 RS73595277,23573206,p_tau
 RS2435211,23573206,Tau
 RS2435211,23573206,Cerebrospinal fluid
 RS2435211,23573206,p_tau
 RS11136000,22795969,Brain region
 RS11136000,22795969,15 O Water
 RS11136000,22795969,Positron emission tomography
 RS11136000,22795969,Cerebral blood flow
 RS11136000,22248099,Alzheimer disease
 RS11136000,24379779,Hippocampus
 RS11136000,24379779,Hippocampal atrophy
 RS11136000,24379779,Quantitative electroencephalography
 RS11136000,21912625,Parkinson disease
RS3851179,21912625,Parkinson disease
 RS6656401,21912625,Parkinson disease
 RS11136000,22722634,Alzheimer disease
 RS11136000,22722634,Hindbrain
 RS2304933,22722634,Alzheimer disease
 RS2304933,22722634,Hindbrain
 RS2304935,22722634,Alzheimer disease
 RS2304935,22722634,Hindbrain
 RS11136000,25051234,Tau
 RS11136000,25051234,Cerebrospinal fluid
 RS11136000,25051234,Amyloid deposition
 RS11136000,24670887,Alzheimer disease
 RS11136000,24670887,Posterior Cortical Atrophy
RS3851179,24670887,Alzheimer disease
RS3851179,24670887,Posterior Cortical Atrophy
RS3764650,24670887,Alzheimer disease
RS3764650,24670887,Posterior Cortical Atrophy
RS744373,24670887,Alzheimer disease
RS744373,24670887,Posterior Cortical Atrophy
 RS11136000,26661731,White matter
 RS11136000,26661731,Intracerebral hemorrhage
 RS11136000,26661731,Cerebral microbleed
 RS11136000,26661731,Magnetic resonance imaging
RS429358,26661731,White matter
RS429358,26661731,Intracerebral hemorrhage
RS429358,26661731,Cerebral microbleed
RS429358,26661731,Magnetic resonance imaging
 RS1532278,26661731,White matter
 RS1532278,26661731,Intracerebral hemorrhage
 RS1532278,26661731,Cerebral microbleed
 RS1532278,26661731,Magnetic resonance imaging
RS7412,26661731,White matter
RS7412,26661731,Intracerebral hemorrhage
RS7412,26661731,Cerebral microbleed
RS7412,26661731,Magnetic resonance imaging
 RS9331888,26661731,White matter
 RS9331888,26661731,Intracerebral hemorrhage
 RS9331888,26661731,Cerebral microbleed
 RS9331888,26661731,Magnetic resonance imaging
 RS7012010,26661731,White matter
 RS7012010,26661731,Intracerebral hemorrhage
 RS7012010,26661731,Cerebral microbleed
 RS7012010,26661731,Magnetic resonance imaging
RS5069,26661731,White matter
RS5069,26661731,Intracerebral hemorrhage
RS5069,26661731,Cerebral microbleed
RS5069,26661731,Magnetic resonance imaging
RS670,26661731,White matter
RS670,26661731,Intracerebral hemorrhage
RS670,26661731,Cerebral microbleed
RS670,26661731,Magnetic resonance imaging
 RS11136000,24244428,Mini mental state exam
 RS1532278,24244428,Mini mental state exam
 RS9331888,24244428,Mini mental state exam
 RS11136000,21397462,Hippocampus
 RS11136000,21397462,Functional magnetic resonance imaging
 RS11136000,24578178,Hippocampus
RS3851179,24578178,Hippocampus
 RS11136000,23643458,Logical memory
 RS11136000,23643458,Scores
RS3851179,23643458,Logical memory
RS3851179,23643458,Scores
RS3818361,23643458,Logical memory
RS3818361,23643458,Scores
 RS6656401,23643458,Logical memory
 RS6656401,23643458,Scores
 RS11136000,24660791,Scores
RS3851179,24660791,Scores
RS744373,24660791,Scores
 RS541458,24660791,Scores
 RS11136000,22159129,Hippocampus
 RS11136000,21543606,Brain region
 RS11136000,21543606,White matter integrity
 RS11136000,21543606,White matter
 RS11136000,21543606,Corpus Callosum
 RS11136000,21543606,Magnetic resonance imaging
 RS11136000,24806679,Ventricular expansion
 RS11136000,24806679,Lateral Ventricle
 RS1532278,24806679,Ventricular expansion
 RS1532278,24806679,Lateral Ventricle
 RS11136000,25496871,Hippocampal Formation
 RS11136000,25496871,Gray matter
 RS11136000,25496871,Functional magnetic resonance imaging
 RS11136000,26738351,Alzheimer disease
 RS11136000,23650005,Alzheimer disease
RS3851179,23650005,Alzheimer disease
 RS6656401,23650005,Alzheimer disease
 RS11136000,20739100,Mini mental state exam
RS3851179,20739100,Mini mental state exam
 RS6656401,20739100,Mini mental state exam
 RS11136000,25189118,Scores
RS3851179,25189118,Scores
RS3764650,25189118,Scores
 RS11767557,25189118,Scores
RS610932,25189118,Scores
 RS11136000,20554627,Alzheimer disease
RS3851179,20554627,Alzheimer disease
RS3818361,20554627,Alzheimer disease
 RS11136000,20697030,Alzheimer disease
RS3851179,20697030,Alzheimer disease
RS3818361,20697030,Alzheimer disease
rs35128093,17965932,Tau
rs35128093,17965932,Tau hyperphosphorylation
rs35128093,15992372,Tau
rs35128093,15992372,Cerebrospinal fluid
rs35128093,15992372,Brain region
rs35128093,7616230,Alzheimer disease
rs35128093,7616230,Tau
rs35128093,7616230,Tau hyperphosphorylation
rs35128093,12387894,Tau
rs35128093,12387894,Tau hyperphosphorylation
rs35128093,19304664,Alzheimer disease
rs35128093,19304664,Tau
rs35128093,12435421,Tau
rs35128093,12435421,Tau hyperphosphorylation
rs35128093,15994305,Alzheimer disease
rs35128093,15994305,Tau
rs35128093,7876258,Alzheimer disease
rs35128093,7876258,Tau
rs35128093,15298664,Tau
rs35128093,15298664,Tau hyperphosphorylation
rs35128093,15298664,Lateral Ventricle
rs35128093,16855914,Tau
rs35128093,16855914,Hippocampus
rs35128093,7533559,Tau
rs35128093,8226879,Tau
rs35128093,15913837,Tau
rs35128093,7525898,Tau
rs35128093,7525898,Hippocampus
rs35128093,9169608,Tau
rs35128093,10737616,Tau
rs35128093,10737616,Tau hyperphosphorylation
rs35128093,12200623,Tau
rs35128093,12200623,Tau hyperphosphorylation
rs35128093,12200623,Brain region
rs35128093,12200623,Entorhinal Cortex
rs35128093,12200623,Hippocampal Formation
rs35128093,9771888,Alzheimer disease
rs35128093,9771888,Tau
rs35128093,7519852,Tau
rs35128093,9694231,Alzheimer disease
rs35128093,9694231,Tau
RS3851179,26889634,Alzheimer disease
RS3851179,26889634,Mini mental state exam
RS3851179,26889634,Parkinson disease
RS3851179,26889634,Scores
RS3851179,23036585,Mini mental state exam
RS3851179,24613704,Brain atrophy
RS3851179,22943764,Alzheimer disease
RS592297,22943764,Alzheimer disease
RS3851179,23565137,Alzheimer disease
RS744373,23565137,Alzheimer disease
 RS11218343,23565137,Alzheimer disease
 RS3781834,23565137,Alzheimer disease
RS3764650,23226438,Clinical dementia rating
RS3764650,23226438,Parietal Lobe
RS3764650,23226438,Scores
RS670139,23226438,Clinical dementia rating
RS670139,23226438,Parietal Lobe
RS670139,23226438,Scores
RS3764650,23836404,Alzheimer disease
RS3764650,23836404,Brain region
RS3764650,23836404,Pittsburgh Compound B
RS9349407,23836404,Alzheimer disease
RS9349407,23836404,Brain region
RS9349407,23836404,Pittsburgh Compound B
 RS2829887,23836404,Alzheimer disease
 RS2829887,23836404,Brain region
 RS2829887,23836404,Pittsburgh Compound B
RS3764650,27003212,Tau
RS3764650,27003212,Cerebrospinal fluid
RS3764650,27003212,Amyloid deposition
RS3764650,27003212,p_tau
RS3764650,27003212,AV45_PET
RS3764650,27003212,Brain atrophy
RS3764650,27003212,Atrophy
RS3764650,27003212,Hypometabolism
RS4147912,27003212,Tau
RS4147912,27003212,Cerebrospinal fluid
RS4147912,27003212,Amyloid deposition
RS4147912,27003212,p_tau
RS4147912,27003212,AV45_PET
RS4147912,27003212,Brain atrophy
RS4147912,27003212,Atrophy
RS4147912,27003212,Hypometabolism
RS3752242,27003212,Tau
RS3752242,27003212,Cerebrospinal fluid
RS3752242,27003212,Amyloid deposition
RS3752242,27003212,p_tau
RS3752242,27003212,AV45_PET
RS3752242,27003212,Brain atrophy
RS3752242,27003212,Atrophy
RS3752242,27003212,Hypometabolism
RS3752240,27003212,Tau
RS3752240,27003212,Cerebrospinal fluid
